,num_beds,num_baths,size_sqft,total_num_units,lat,lng,price,mean_tenure_price,active_years,remaining_lease,planning_area_mean,total_rooms,size_per_room,mean_property_type,distance,num_shopping_malls,tenure_99-Year Leasehold,tenure_Freehold,tenure_Others,property_type_apartment,property_type_bungalow,property_type_cluster house,property_type_condo,property_type_conservation house,property_type_corner terrace,property_type_executive condo,property_type_good class bungalow,property_type_hdb,property_type_hdb executive,property_type_landed,property_type_semi-detached house,property_type_terraced house,property_type_townhouse,property_type_walk-up,furnishing_fully,furnishing_na,furnishing_partial,furnishing_unfurnished,furnishing_unspecified
10,2.0,2.0,1733,280.0,1.3221528,103.94522262523984,2205000.0,1887101.9683996823,37.0,62.0,2807377.8616352202,4.0,433.25,2939232.736224597,0.5706174172311359,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
11,2.0,1.0,646,237.0,1.32970335,103.90568292831622,1365000.0,4723458.03669437,-1.0,-1.0,2807377.8616352202,3.0,215.33333333333334,2939232.736224597,0.6589949411986342,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
12,1.0,1.0,474,633.0,1.3393381,103.7638932,1008000.0,4723458.03669437,-2.0,-1.0,1603696.7741935484,2.0,237.0,2939232.736224597,1.3304479014905077,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
13,3.0,3.0,1227,756.0,1.36432355,103.83166833259988,2079000.0,1887101.9683996823,18.0,81.0,2787526.83982684,6.0,204.5,2939232.736224597,0.1784035776976268,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
14,2.0,1.0,850,298.0,1.29988105,103.88811428633838,2080000.0,1887101.9683996823,-2.0,101.0,3897221.5361445784,3.0,283.3333333333333,2939232.736224597,0.9354159473160131,5.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
15,3.0,2.0,1119,129.0,1.3816301,103.7421019293336,554400.0,1887101.9683996823,30.0,69.0,782881.2307692308,5.0,223.8,662163.9668049793,0.48388370713494566,8.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
16,3.0,2.0,980,-1.0,1.328739,103.84453365993072,554400.0,1887101.9683996823,41.0,58.0,3691529.044117647,5.0,196.0,662163.9668049793,0.5423898068192496,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
17,2.0,1.0,517,46.0,1.3129331,103.85686967571708,800100.0,4723458.03669437,13.0,-1.0,2202377.590673575,3.0,172.33333333333334,2939232.736224597,0.23648667753681496,6.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
18,4.0,7.0,6200,510.0,1.277361,103.84933771170438,19740000.0,1887101.9683996823,5.0,94.0,5017418.02507837,11.0,563.6363636363636,2939232.736224597,0.4116543568903019,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
19,1.0,1.0,470,-1.0,1.3737939,103.84901393695192,309800.0,1887101.9683996823,42.0,57.0,2375806.99844479,2.0,235.0,662163.9668049793,0.4312087686720097,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
20,4.0,4.0,1496,1074.0,1.304855,103.77377633404797,2730000.0,1887101.9683996823,-1.0,100.0,1940514.7798742137,8.0,187.0,2939232.736224597,0.9040641497394813,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
21,5.0,5.0,2700,423.0,1.3642682,103.9675891,2079000.0,1887101.9683996823,26.0,73.0,2307447.3451327435,10.0,270.0,4869575.784753364,1.6959052811393718,4.0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0
22,4.0,2.0,1625,-1.0,1.2943763,103.80448307932464,1134000.0,1887101.9683996823,27.0,72.0,1940514.7798742137,6.0,270.8333333333333,662163.9668049793,0.17845366219095618,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
23,5.0,6.0,7829,-1.0,1.32201645,103.8364502631857,11025000.0,4723458.03669437,13.5,-1.0,3691529.044117647,11.0,711.7272727272727,4869575.784753364,0.8390915934284437,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
24,3.0,2.0,1560,-1.0,1.3346024,103.90839720876184,934500.0,1887101.9683996823,26.0,73.0,2807377.8616352202,5.0,312.0,919453.7704918033,0.04094345561908406,2.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
25,1.0,1.0,657,646.0,1.2946685,103.8500737,1365000.0,1887101.9683996823,15.0,84.0,2257360.663507109,2.0,328.5,3433777.777777778,0.2513503749966011,2.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
26,4.0,5.0,4716,6.0,1.30062,103.892783,8059800.0,4723458.03669437,-3.0,-1.0,3897221.5361445784,9.0,524.0,7705622.593320236,0.969396354856356,5.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
27,2.0,2.0,721,32.0,1.35539535,103.95322139402808,388500.0,1887101.9683996823,37.0,62.0,1223997.7064220184,4.0,180.25,662163.9668049793,0.18022170722785721,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
28,3.0,2.0,1561,32.0,1.30668715,103.83618134892708,3832500.0,4723458.03669437,12.0,-1.0,7257379.268292683,5.0,312.2,3433777.777777778,0.6542704619648994,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
29,2.0,2.0,1098,510.0,1.277361,103.84933771170438,2719500.0,1887101.9683996823,5.0,94.0,5017418.02507837,4.0,274.5,2939232.736224597,0.4116543568903019,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
30,3.0,3.0,1130,58.0,1.3164313,103.8575321,2671200.0,4723458.03669437,-1.0,-1.0,2202377.590673575,6.0,188.33333333333334,3433777.777777778,0.47745642698257995,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
31,2.0,2.0,872,120.0,1.3129422000000002,103.84155234754564,2380400.0,4723458.03669437,-1.0,-1.0,3691529.044117647,4.0,218.0,2939232.736224597,0.40299386101618945,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
32,4.0,4.0,1392,-1.0,1.3196642,103.92376598402689,4830000.0,4723458.03669437,42.0,-1.0,2807377.8616352202,8.0,174.0,4869575.784753364,1.2134900708629086,2.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
33,3.0,3.0,1281,24.0,1.3087662,103.8090654,3245400.0,4723458.03669437,-2.0,-1.0,4477531.718061674,6.0,213.5,2939232.736224597,0.9771979653557551,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
34,3.0,2.0,1130,69.0,1.3087662,103.8090654,3032400.0,4723458.03669437,-1.0,-1.0,4477531.718061674,5.0,226.0,2939232.736224597,0.9771979653557551,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
35,3.0,2.0,1001,588.0,1.4241899,103.8449321,581700.0,1887101.9683996823,5.0,94.0,1148531.2775330397,5.0,200.2,662163.9668049793,1.2481379167309066,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
36,1.0,1.0,452,188.0,1.30010805,103.84667445597408,1342300.0,1887101.9683996823,-1.0,100.0,2257360.663507109,2.0,226.0,2939232.736224597,0.13895388054708685,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
37,4.0,4.0,1765,250.0,1.3443339,103.8786904,3360000.0,4723458.03669437,0.0,-1.0,3794226.376440461,8.0,220.625,2939232.736224597,0.2616725943696553,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
38,1.0,1.0,646,119.0,1.3031066,103.83293253725688,1412200.0,3685375.426905456,-1.0,-1.0,8033512.087912088,2.0,323.0,2939232.736224597,0.7534804433488056,20.0,0,0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
39,4.0,3.0,2088,296.0,1.3116278,103.79388546155636,7350000.0,1887101.9683996823,-3.0,102.0,1940514.7798742137,7.0,298.2857142857143,2939232.736224597,0.2878281727897157,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
40,3.0,2.0,1000,-1.0,1.3870525,103.7722878,577500.0,1887101.9683996823,10.0,89.0,1717656.4459930314,5.0,200.0,662163.9668049793,1.4872142483088573,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
41,2.0,2.0,721,134.0,1.3557437,103.8713719,435800.0,1887101.9683996823,37.0,62.0,3794226.376440461,4.0,180.25,662163.9668049793,0.586126966863649,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
42,4.0,2.0,1270,76.0,1.35451645,103.96138214424742,661500.0,1887101.9683996823,26.0,73.0,1223997.7064220184,6.0,211.66666666666666,662163.9668049793,0.7734440412294923,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
43,2.0,1.0,657,105.0,1.3765249,103.7573796,892500.0,1887101.9683996823,-3.0,102.0,1603696.7741935484,3.0,219.0,2939232.736224597,0.540770462871009,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
44,5.0,7.0,4350,-1.0,1.3444213,103.8376946,12075000.0,4723458.03669437,22.0,-1.0,2787526.83982684,12.0,362.5,7705622.593320236,0.5114733568051708,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
45,3.0,3.0,1453,1723.0,1.31525305,103.80335348540277,2887500.0,1887101.9683996823,7.0,92.0,5583573.20754717,6.0,242.16666666666666,2939232.736224597,0.5090760366235524,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
46,3.0,2.0,1130,-1.0,1.3359166999999998,103.9369443776042,648900.0,1887101.9683996823,22.0,77.0,2807377.8616352202,5.0,226.0,662163.9668049793,0.5296877416208914,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
47,5.0,6.0,5230,-1.0,1.4405369,103.82607667170107,6667500.0,4723458.03669437,-3.0,-1.0,1490328.7640449437,11.0,475.45454545454544,7705622.593320236,0.4916153345643586,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
48,3.0,2.0,1001,1178.0,1.4471173,103.8141757373453,609000.0,1887101.9683996823,4.0,95.0,1490328.7640449437,5.0,200.2,662163.9668049793,0.6873781189033001,3.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
49,5.0,6.0,5000,-1.0,1.3870489,103.872999,7119000.0,4723458.03669437,9.0,-1.0,3794226.376440461,11.0,454.54545454545456,7705622.593320236,2.286669503467111,3.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
50,4.0,3.0,1313,34.0,1.3136277,103.8831086,2274800.0,4723458.03669437,-3.0,-1.0,1439581.1138014528,7.0,187.57142857142858,2939232.736224597,0.3109708694451854,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
51,3.0,2.0,1119,206.0,1.3499487,103.94994605,617400.0,1887101.9683996823,38.0,61.0,1223997.7064220184,5.0,223.8,662163.9668049793,0.8385472452108185,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
52,3.0,2.0,936,319.0,1.310429,103.80282102340084,2310000.0,4723458.03669437,-3.0,-1.0,5583573.20754717,5.0,187.2,2939232.736224597,0.7422298115143062,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
53,2.0,2.0,689,158.0,1.3252767,103.9326308,1375500.0,1887101.9683996823,-5.0,104.0,2807377.8616352202,4.0,172.25,2939232.736224597,1.253713752970859,2.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
54,5.0,4.0,1819,262.0,1.27568865,103.83822499656318,6161400.0,4723458.03669437,-1.0,-1.0,2445884.3173431735,9.0,202.11111111111111,2939232.736224597,0.5429493450799642,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
55,3.0,2.0,1130,-1.0,1.37112775,103.95807671272708,575400.0,1887101.9683996823,33.0,66.0,2307447.3451327435,5.0,226.0,662163.9668049793,1.0011265884821638,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
56,3.0,2.0,1313,-1.0,1.34387085,103.7578477023541,628800.0,1887101.9683996823,25.0,74.0,1603696.7741935484,5.0,262.6,662163.9668049793,1.0840754480313732,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
57,2.0,2.0,753,522.0,1.29773195,103.8559134735316,2288000.0,1887101.9683996823,-2.0,101.0,5017418.02507837,4.0,188.25,2939232.736224597,0.30309058529472116,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
58,4.0,4.0,1399,58.0,1.3164313,103.8575321,3272800.0,4723458.03669437,-1.0,-1.0,2202377.590673575,8.0,174.875,3433777.777777778,0.47745642698257995,6.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
59,2.0,2.0,893,-1.0,1.32691215,103.85649051769732,974400.0,1887101.9683996823,50.0,49.0,3691529.044117647,4.0,223.25,919453.7704918033,0.9887402993032104,5.0,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1
60,3.0,2.0,926,548.0,1.39734855,103.89235330638869,1076200.0,1887101.9683996823,-1.0,100.0,985874.5974955277,5.0,185.2,1466824.67789891,0.715746142204745,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0,0,0
61,3.0,2.0,1281,230.0,1.31730585,103.83260746060152,3922700.0,4723458.03669437,-3.0,-1.0,4477531.718061674,5.0,256.2,2939232.736224597,0.793640843026821,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
62,3.0,2.0,904,558.0,1.29841635,103.85717773862802,2516800.0,1887101.9683996823,-2.0,101.0,5017418.02507837,5.0,180.8,2939232.736224597,0.27950078133522177,16.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
63,4.0,2.0,1313,-1.0,1.3766151999999998,103.94052928851568,724500.0,1887101.9683996823,27.0,72.0,2307447.3451327435,6.0,218.83333333333334,662163.9668049793,1.0513572473112718,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
64,1.0,1.0,527,60.0,1.30397875,103.82269161887947,1541400.0,4723458.03669437,-2.0,-1.0,4477531.718061674,2.0,263.5,2939232.736224597,0.21628050881533617,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
65,6.0,6.0,7015,-1.0,1.3171727,103.922284,8998500.0,4723458.03669437,8.0,-1.0,2807377.8616352202,12.0,584.5833333333334,17301457.16198126,1.1234925249814804,2.0,0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
66,3.0,2.0,1001,146.0,1.3349051,103.87943952124174,798000.0,1887101.9683996823,5.0,94.0,1519901.3333333333,5.0,200.2,662163.9668049793,0.8439455124439295,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
67,3.0,2.0,958,448.0,1.44002835,103.82774103667388,1459500.0,1887101.9683996823,-4.0,103.0,1490328.7640449437,5.0,191.6,2939232.736224597,0.40157611754775385,3.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
68,3.0,3.0,1184,406.0,1.4243288500000002,103.84822482554188,1257900.0,1887101.9683996823,8.0,91.0,1148531.2775330397,6.0,197.33333333333334,1466824.67789891,1.5761110256257724,2.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
69,4.0,4.0,2368,138.0,1.3101838,103.8359137,10963400.0,4723458.03669437,-3.0,-1.0,7257379.268292683,8.0,296.0,3433777.777777778,0.3299329169256995,-1.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
70,2.0,2.0,764,517.0,1.39704825,103.89393329199906,1155000.0,1887101.9683996823,5.0,94.0,985874.5974955277,4.0,191.0,1466824.67789891,0.6166396945823139,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
71,2.0,2.0,667,638.0,1.3123637,103.80327091227252,1772400.0,4723458.03669437,-1.0,-1.0,5583573.20754717,4.0,166.75,2939232.736224597,0.7238853301692189,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
72,3.0,2.0,1076,407.0,1.3113226999999998,103.85247580094573,2415000.0,1887101.9683996823,-4.0,103.0,2202377.590673575,5.0,215.2,2939232.736224597,0.3236008293043683,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
73,5.0,5.0,4925,-1.0,1.3307918,103.7577266,6016500.0,4723458.03669437,9.0,-1.0,3322051.011235955,10.0,492.5,7705622.593320236,1.7380604759295024,4.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,1
74,3.0,2.0,1140,-1.0,1.2777916500000002,103.84140360852476,1260000.0,1887101.9683996823,11.0,88.0,3247546.3636363638,5.0,228.0,662163.9668049793,0.30985169088648856,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
75,5.0,3.0,5985,12.0,1.3178998,103.8258621,14184200.0,4723458.03669437,9.0,-1.0,4477531.718061674,8.0,748.125,2939232.736224597,0.2401585606700365,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
76,1.0,1.0,560,455.0,1.3027702,103.8694351,1761900.0,1887101.9683996823,-1.0,100.0,2202377.590673575,2.0,280.0,2939232.736224597,0.6569235719289843,6.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
77,2.0,1.0,710,60.0,1.30397875,103.82269161887947,1937000.0,4723458.03669437,-2.0,-1.0,4477531.718061674,3.0,236.66666666666666,2939232.736224597,0.21628050881533617,-1.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0
78,2.0,2.0,796,145.0,1.3533064,103.951144,472500.0,1887101.9683996823,38.0,61.0,1223997.7064220184,4.0,199.0,662163.9668049793,0.5026575775053203,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
79,3.0,2.0,969,-1.0,1.4472891,103.7708303,525000.0,1887101.9683996823,18.0,81.0,806956.345177665,5.0,193.8,662163.9668049793,1.6576651141108782,8.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
80,4.0,2.0,1270,123.0,1.3416378,103.70553212628354,735000.0,1887101.9683996823,24.0,75.0,853171.9480519481,6.0,211.66666666666666,662163.9668049793,0.3406503066326477,5.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
81,5.0,4.0,1884,633.0,1.3393381,103.7638932,4438400.0,4723458.03669437,-2.0,-1.0,1603696.7741935484,9.0,209.33333333333334,2939232.736224597,1.3304479014905077,2.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0
82,2.0,2.0,645,-1.0,1.3048464,103.8625836,446200.0,1887101.9683996823,40.0,59.0,2202377.590673575,4.0,161.25,662163.9668049793,0.28065942745045797,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,1,0
83,5.0,5.0,6437,19.0,1.3726929499999998,103.7699175716839,9816300.0,3685375.426905456,6.5,-1.0,1717656.4459930314,10.0,643.7,6230949.803921568,0.6877071417505977,5.0,0,0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1
84,3.0,2.0,1001,624.0,1.31507315,103.86063151014405,984900.0,1887101.9683996823,5.0,94.0,2202377.590673575,5.0,200.2,662163.9668049793,0.3035766995772331,6.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,1,0,0
85,1.0,1.0,549,106.0,1.317319,103.807431,1470000.0,1887101.9683996823,5.0,94.0,5583573.20754717,2.0,274.5,2939232.736224597,0.014481926549675974,4.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
86,3.0,2.0,990,-1.0,1.37365485,103.85697538402584,521800.0,1887101.9683996823,41.0,58.0,2375806.99844479,5.0,198.0,662163.9668049793,0.9223643802757774,4.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
87,5.0,6.0,3966,-1.0,1.3555426,103.8802545,5019000.0,4723458.03669437,14.0,-1.0,2128504.452690167,11.0,360.54545454545456,4869575.784753364,0.7412388882328171,7.0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,1
88,4.0,3.0,1195,34.0,1.3136277,103.8831086,2082900.0,4723458.03669437,-3.0,-1.0,1439581.1138014528,7.0,170.71428571428572,2939232.736224597,0.3109708694451854,5.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
89,3.0,2.0,1421,351.0,1.2739587,103.84363531310518,3514400.0,1887101.9683996823,-4.0,103.0,5017418.02507837,5.0,284.2,3433777.777777778,0.370021699633321,16.0,1,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
90,3.0,3.0,1603,545.0,1.2915065499999998,103.83670439151769,4376200.0,4723458.03669437,13.0,-1.0,4226292.592592592,6.0,267.1666666666667,3433777.777777778,0.8556409262859774,2.0,0,1,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
91,3.0,2.0,1291,-1.0,1.3620961,103.7444601867664,564900.0,1887101.9683996823,35.0,64.0,1603696.7741935484,5.0,258.2,662163.9668049793,0.9022329557216232,2.0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,1
92,4.0,4.0,1367,380.0,1.39490445,103.87994825262744,1837500.0,1887101.9683996823,6.0,93.0,985874.5974955277,8.0,170.875,1466824.67789891,1.7650542340792954,4.0,1,0,0,0,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,1
93,2.0,1.0,752,689.0,1.4275711,103.78575216457712,924000.0,1887101.9683996823,8.0,91.0,806956.345177665,3.0,250.66666666666666,2939232.736224597,0.8362158174782267,8.0,1,0,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
94,7.0,8.0,7900,-1.0,1.34166185,103.7808309432764,12264000.0,1887101.9683996823,15.0,84.0,5583573.20754717,15.0,526.6666666666666,17301457.16198126,0.5720318511075849,4.0,1,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
95,3.0,2.0,936,319.0,1.310429,103.80282102340084,2520300.0,4723458.03669437,-3.0,-1.0,5583573.20754717,5.0,187.2,2939232.736224597,0.7422298115143062,4.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
96,4.0,4.0,1281,250.0,1.3443339,103.8786904,2733200.0,4723458.03669437,0.0,-1.0,3794226.376440461,8.0,160.125,2939232.736224597,0.2616725943696553,3.0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,1
