,property_type,tenure,built_year,num_beds,num_baths,size_sqft,total_num_units,lat,lng,subzone,planning_area,price
31,condo,freehold,2021.2354166666667,2.0,2.0,872,120.0,1.3129422000000002,103.84155234754564,moulmein,novena,2380400.0
32,terraced house,freehold,1980.0,4.0,4.0,1392,375.360850381067,1.3196642,103.92376598402689,frankel,bedok,4830000.0
33,condo,freehold,2024.0,3.0,3.0,1281,24.0,1.3087662,103.8090654,ridout,tanglin,3245400.0
34,condo,freehold,2023.0,3.0,2.0,1130,69.0,1.3087662,103.8090654,ridout,tanglin,3032400.0
35,hdb,99-year leasehold,2017.0,3.0,2.0,1001,588.0,1.4241899,103.8449321,yishun east,yishun,581700.0
36,condo,99-year leasehold,2023.0,1.0,1.0,452,188.0,1.30010805,103.84667445597408,dhoby ghaut,museum,1342300.0
37,condo,freehold,2022.0,4.0,4.0,1765,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,3360000.0
38,condo,99-year leasehold,2023.0,1.0,1.0,646,119.0,1.3031066,103.83293253725688,boulevard,orchard,1412200.0
39,condo,99-year leasehold,2025.0,4.0,3.0,2088,296.0,1.3116278,103.79388546155636,holland drive,queenstown,7350000.0
40,hdb,99-year leasehold,2012.0,3.0,2.0,1000,375.360850381067,1.3870525,103.7722878,fajar,bukit panjang,577500.0
41,hdb,99-year leasehold,1985.0,2.0,2.0,721,134.0,1.3557437,103.8713719,serangoon garden,serangoon,435800.0
42,hdb,99-year leasehold,1996.0,4.0,2.0,1270,76.0,1.35451645,103.96138214424742,tampines east,tampines,661500.0
43,condo,99-year leasehold,2025.0,2.0,1.0,657,105.0,1.3765249,103.7573796,gombak,bukit batok,892500.0
44,semi-detached house,freehold,2000.0,5.0,7.0,4350,375.360850381067,1.3444213,103.8376946,upper thomson,bishan,12075000.0
45,condo,99-year leasehold,2015.0,3.0,3.0,1453,1723.0,1.31525305,103.80335348540277,farrer court,bukit timah,2887500.0
46,hdb,99-year leasehold,2000.0,3.0,2.0,1130,375.360850381067,1.3359166999999998,103.9369443776042,bedok reservoir,bedok,648900.0
47,semi-detached house,freehold,2023.121794871795,5.0,6.0,5230,375.360850381067,1.4405369,103.82607667170107,sembawang springs,sembawang,6667500.0
48,hdb,99-year leasehold,2018.0,3.0,2.0,1001,1178.0,1.4471173,103.8141757373453,sembawang central,sembawang,609000.0
49,semi-detached house,freehold,2013.0,5.0,6.0,5000,375.360850381067,1.3870489,103.872999,seletar hills,serangoon,7119000.0
50,condo,freehold,2025.0,4.0,3.0,1313,34.0,1.3136277,103.8831086,aljunied,geylang,2274800.0
51,hdb,99-year leasehold,1984.0,3.0,2.0,1119,206.0,1.3499487,103.94994605,tampines east,tampines,617400.0
52,condo,freehold,2025.0,3.0,2.0,936,319.0,1.310429,103.80282102340084,leedon park,bukit timah,2310000.0
53,condo,99-year leasehold,2027.0,2.0,2.0,689,158.0,1.3252767,103.9326308,bedok north,bedok,1375500.0
54,condo,freehold,2023.0,5.0,4.0,1819,262.0,1.27568865,103.83822499656318,everton park,bukit merah,6161400.0
55,hdb,99-year leasehold,1989.0,3.0,2.0,1130,375.360850381067,1.37112775,103.95807671272708,pasir ris drive,pasir ris,575400.0
56,hdb,99-year leasehold,1997.0,3.0,2.0,1313,375.360850381067,1.34387085,103.7578477023541,bukit batok south,bukit batok,628800.0
57,condo,99-year leasehold,2024.0,2.0,2.0,753,522.0,1.29773195,103.8559134735316,bugis,downtown core,2288000.0
58,apartment,freehold,2023.0,4.0,4.0,1399,58.0,1.3164313,103.8575321,lavender,kallang,3272800.0
59,hdb executive,99-year leasehold,1972.0,2.0,2.0,893,375.360850381067,1.32691215,103.85649051769732,balestier,novena,974400.0
60,executive condo,99-year leasehold,2023.0,3.0,2.0,926,548.0,1.39734855,103.89235330638869,anchorvale,sengkang,1076200.0
61,condo,freehold,2025.0,3.0,2.0,1281,230.0,1.31730585,103.83260746060152,nassim,tanglin,3922700.0
62,condo,99-year leasehold,2024.0,3.0,2.0,904,558.0,1.29841635,103.85717773862802,bugis,downtown core,2516800.0
63,hdb,99-year leasehold,1995.0,4.0,2.0,1313,375.360850381067,1.3766151999999998,103.94052928851568,pasir ris west,pasir ris,724500.0
64,condo,freehold,2024.0,1.0,1.0,527,60.0,1.30397875,103.82269161887947,chatsworth,tanglin,1541400.0
65,bungalow,freehold,2014.0,6.0,6.0,7015,375.360850381067,1.3171727,103.922284,frankel,bedok,8998500.0
66,hdb,99-year leasehold,2017.0,3.0,2.0,1001,146.0,1.3349051,103.87943952124174,joo seng,toa payoh,798000.0
67,condo,99-year leasehold,2026.0,3.0,2.0,958,448.0,1.44002835,103.82774103667388,sembawang springs,sembawang,1459500.0
68,executive condo,99-year leasehold,2014.0,3.0,3.0,1184,406.0,1.4243288500000002,103.84822482554188,yishun east,yishun,1257900.0
69,apartment,freehold,2025.0,4.0,4.0,2368,138.0,1.3101838,103.8359137,newton circus,newton,10963400.0
70,executive condo,99-year leasehold,2017.0,2.0,2.0,764,517.0,1.39704825,103.89393329199906,anchorvale,sengkang,1155000.0
71,condo,freehold,2023.0,2.0,2.0,667,638.0,1.3123637,103.80327091227252,farrer court,bukit timah,1772400.0
72,condo,99-year leasehold,2026.0,3.0,2.0,1076,407.0,1.3113226999999998,103.85247580094573,kampong java,kallang,2415000.0
73,semi-detached house,freehold,2013.0,5.0,5.0,4925,375.360850381067,1.3307918,103.7577266,toh tuck,clementi,6016500.0
74,hdb,99-year leasehold,2011.0,3.0,2.0,1140,375.360850381067,1.2777916500000002,103.84140360852476,chinatown,outram,1260000.0
75,condo,freehold,2013.0,5.0,3.0,5985,12.0,1.3178998,103.8258621,nassim,tanglin,14184200.0
76,condo,99-year leasehold,2023.0,1.0,1.0,560,455.0,1.3027702,103.8694351,tanjong rhu,kallang,1761900.0
77,condo,freehold,2024.0,2.0,1.0,710,60.0,1.30397875,103.82269161887947,chatsworth,tanglin,1937000.0
78,hdb,99-year leasehold,1984.0,2.0,2.0,796,145.0,1.3533064,103.951144,tampines east,tampines,472500.0
79,hdb,99-year leasehold,2004.0,3.0,2.0,969,375.360850381067,1.4472891,103.7708303,north coast,woodlands,525000.0
80,hdb,99-year leasehold,1998.0,4.0,2.0,1270,123.0,1.3416378,103.70553212628354,jurong west central,jurong west,735000.0
81,condo,freehold,2024.0,5.0,4.0,1884,633.0,1.3393381,103.7638932,bukit batok south,bukit batok,4438400.0
82,hdb,99-year leasehold,1982.0,2.0,2.0,645,375.360850381067,1.3048464,103.8625836,crawford,kallang,446200.0
83,corner terrace,freehold,2016.0454545454545,5.0,5.0,6437,19.0,1.3726929499999998,103.7699175716839,dairy farm,bukit panjang,9816300.0
84,hdb,99-year leasehold,2017.0,3.0,2.0,1001,624.0,1.31507315,103.86063151014405,bendemeer,kallang,984900.0
85,condo,99-year leasehold,2017.0,1.0,1.0,549,106.0,1.317319,103.807431,holland road,bukit timah,1470000.0
86,hdb,99-year leasehold,1981.0,3.0,2.0,990,375.360850381067,1.37365485,103.85697538402584,cheng san,ang mo kio,521800.0
87,terraced house,freehold,2008.0,5.0,6.0,3966,375.360850381067,1.3555426,103.8802545,lorong ah soo,hougang,5019000.0
88,condo,freehold,2025.0,4.0,3.0,1195,34.0,1.3136277,103.8831086,aljunied,geylang,2082900.0
89,apartment,99-year leasehold,2026.0,3.0,2.0,1421,351.0,1.2739587,103.84363531310518,anson,downtown core,3514400.0
90,apartment,freehold,2009.0,3.0,3.0,1603,545.0,1.2915065499999998,103.83670439151769,robertson quay,singapore river,4376200.0
91,hdb,99-year leasehold,1987.0,3.0,2.0,1291,375.360850381067,1.3620961,103.7444601867664,hong kah north,bukit batok,564900.0
92,executive condo,99-year leasehold,2016.0,4.0,4.0,1367,380.0,1.39490445,103.87994825262744,fernvale,sengkang,1837500.0
93,condo,99-year leasehold,2014.0,2.0,1.0,752,689.0,1.4275711,103.78575216457712,woodgrove,woodlands,924000.0
94,bungalow,99-year leasehold,2005.1052631578948,7.0,8.0,7900,375.360850381067,1.34166185,103.7808309432764,swiss club,bukit timah,12264000.0
95,condo,freehold,2025.0,3.0,2.0,936,319.0,1.310429,103.80282102340084,leedon park,bukit timah,2520300.0
96,condo,freehold,2022.0,4.0,4.0,1281,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,2733200.0
97,hdb,99-year leasehold,2011.0,3.0,2.0,1022,375.360850381067,1.3175466999999998,103.89851880043382,geylang east,geylang,892500.0
98,hdb,99-year leasehold,2001.0,3.0,2.0,1011,375.360850381067,1.4501476,103.8157699,sembawang central,sembawang,545000.0
99,condo,freehold,2023.0,4.0,3.0,1345,69.0,1.3087662,103.8090654,ridout,tanglin,3990000.0
100,hdb executive,99-year leasehold,1995.0,5.0,4.0,1905,375.360850381067,1.4290407,103.7720746,woodgrove,woodlands,1155000.0
101,hdb,99-year leasehold,1992.0,3.0,2.0,1205,69.0,1.3580925,103.84217392551992,marymount,bishan,630000.0
102,hdb,99-year leasehold,1992.5897435897436,3.0,2.0,1001,1480.0,1.2766663,103.80704638711627,telok blangah drive,bukit merah,1143300.0
103,executive condo,99-year leasehold,2017.0,4.0,3.0,1185,525.0,1.4170170999999998,103.84503465472268,lower seletar,yishun,1604400.0
104,hdb,99-year leasehold,1986.0,3.0,2.0,1119,375.360850381067,1.32616425,103.90216178147097,kampong ubi,geylang,556500.0
105,hdb,99-year leasehold,1995.0,4.0,3.0,1825,375.360850381067,1.4377016,103.77733635,woodlands west,woodlands,934500.0
106,hdb,99-year leasehold,2009.0,3.0,2.0,990,375.360850381067,1.3984628,103.9190743,waterway east,punggol,609000.0
107,condo,99-year leasehold,2023.0,5.0,4.0,1679,1410.0,1.36679605,103.8865753660334,kovan,hougang,2536300.0
108,semi-detached house,freehold,2000.0,7.0,9.0,4350,375.360850381067,1.3444213,103.8376946,upper thomson,bishan,11340000.0
109,condo,freehold,2025.0,3.0,2.0,797,32.0,1.3086965,103.8981317,katong,marine parade,1827000.0
110,condo,freehold,2021.0,4.0,4.0,1259,285.0,1.330403,103.7949393,holland road,bukit timah,3879300.0
111,hdb,99-year leasehold,2004.0,3.0,2.0,969,375.360850381067,1.3120277,103.85167627533578,kampong java,kallang,829500.0
112,condo,freehold,2025.0,3.0,2.0,1098,31.0,1.3131859,103.8996932,geylang east,geylang,2278600.0
113,condo,99-year leasehold,2019.0,3.0,2.0,786,660.0,1.4350322,103.84433307382491,yishun east,yishun,1050000.0
114,hdb,99-year leasehold,1998.0,3.0,2.0,1076,127.0,1.3402661,103.69576086640916,jurong west central,jurong west,575400.0
115,condo,freehold,2021.0,3.0,2.0,990,285.0,1.330403,103.7949393,holland road,bukit timah,2845500.0
116,condo,99-year leasehold,2026.0,4.0,4.0,1302,448.0,1.44002835,103.82774103667388,sembawang springs,sembawang,1953000.0
117,condo,99-year leasehold,2016.0,2.0,2.0,678,694.0,1.3526158,103.85088456895812,bishan east,bishan,1344000.0
118,hdb,99-year leasehold,2006.0,4.0,2.0,1248,375.360850381067,1.2810166,103.80929125585544,depot road,bukit merah,766500.0
119,semi-detached house,freehold,2007.0,5.0,7.0,7000,375.360850381067,1.46136225,103.83614823161346,sembawang straits,sembawang,6594000.0
120,hdb,99-year leasehold,1997.0,3.0,2.0,1076,81.0,1.3716072499999998,103.87540214808246,serangoon north,serangoon,617400.0
121,hdb,99-year leasehold,2017.0,3.0,2.0,1216,588.0,1.4241899,103.8449321,yishun east,yishun,724500.0
122,executive condo,99-year leasehold,2017.0,3.0,2.0,936,638.0,1.445516,103.82705855838422,sembawang springs,sembawang,1344000.0
123,hdb,99-year leasehold,2002.0,3.0,2.0,1184,171.0,1.3877522,103.7694179,saujana,bukit panjang,617400.0
124,condo,freehold,2014.0,2.0,2.0,678,248.0,1.29436855,103.8284376,chatsworth,tanglin,1669500.0
125,executive condo,99-year leasehold,2027.0,3.0,2.0,968,616.0,1.4349279,103.8452818,yishun east,yishun,1197000.0
126,condo,99-year leasehold,2023.0,1.0,1.0,527,1206.0,1.35258045,103.83922542690792,upper thomson,bishan,1037400.0
127,condo,freehold,2024.0,3.0,2.0,1152,660.0,1.3306509,103.7670572,sunset way,clementi,2368800.0
128,condo,99-year leasehold,1996.0,2.0,2.0,947,1038.0,1.3128118,103.93903292138398,bayshore,bedok,1154000.0
129,condo,freehold,2022.0,2.0,1.0,635,250.0,1.3443339,103.8786904,upper paya lebar,serangoon,1567600.0
130,condo,freehold,2022.0,2.0,2.0,657,71.0,1.3156128,103.8454853,moulmein,novena,1785000.0
131,hdb,99-year leasehold,1981.0,3.0,2.0,893,122.0,1.28163205,103.84231222587113,chinatown,outram,1050000.0
132,hdb,99-year leasehold,1978.0,3.0,2.0,1044,131.0,1.31088855,103.7696620501535,clementi woods,clementi,588000.0
133,hdb,99-year leasehold,1989.0,3.0,2.0,1377,375.360850381067,1.36781235,103.95821899168908,pasir ris drive,pasir ris,701400.0
134,condo,freehold,2017.0,3.0,3.0,1862,77.0,1.30348325,103.82468956573264,tanglin,orchard,7039200.0
135,hdb,99-year leasehold,2001.0,3.0,2.0,1399,76.0,1.3872543,103.7597827,senja,bukit panjang,848400.0
136,hdb,99-year leasehold,2002.0,3.0,2.0,1184,375.360850381067,1.3955935,103.8990262464462,sengkang town centre,sengkang,630000.0
137,hdb,99-year leasehold,1988.0,3.0,2.0,1313,105.0,1.37640055,103.77489833847288,bangkit,bukit panjang,586800.0
138,condo,99-year leasehold,2025.0,3.0,2.0,1076,429.0,1.26522915,103.81751884226044,maritime square,bukit merah,2815000.0
139,executive condo,99-year leasehold,2027.0,3.0,3.0,1076,616.0,1.4349279,103.8452818,yishun east,yishun,1398400.0
140,condo,freehold,2011.0,1.0,1.0,452,33.0,1.37998675,103.96270907169402,pasir ris park,pasir ris,656200.0
141,hdb,99-year leasehold,1979.0,3.0,2.0,1302,375.360850381067,1.31947695,103.88276969928656,aljunied,geylang,795900.0
142,hdb,99-year leasehold,2016.0,2.0,2.0,721,755.0,1.32829915,103.8613772552474,balestier,novena,586800.0
143,condo,freehold,2026.0,2.0,2.0,710,137.0,1.3159484,103.8575892,lavender,kallang,1361800.0
144,condo,freehold,2024.0,3.0,2.0,936,660.0,1.3306509,103.7670572,sunset way,clementi,1870000.0
145,hdb,99-year leasehold,2016.0,3.0,2.0,1001,372.0,1.44761315,103.83352025714105,sembawang east,sembawang,575400.0
146,condo,99-year leasehold,2025.0,3.0,2.0,1012,105.0,1.3765249,103.7573796,gombak,bukit batok,1575000.0
147,hdb,99-year leasehold,2000.0,3.0,2.0,968,122.0,1.3410727,103.69975192335232,jurong west central,jurong west,491400.0
148,apartment,freehold,2002.0,3.0,3.0,1475,10.0,1.3102151,103.8986321,geylang east,geylang,3150000.0
149,terraced house,99-year leasehold,1998.0,6.0,6.0,3863,8.0,1.4283557,103.7804964,woodgrove,woodlands,2940000.0
150,hdb,99-year leasehold,2013.0,3.0,2.0,1033,375.360850381067,1.31027885,103.77076171925694,clementi woods,clementi,912300.0
151,condo,freehold,2015.0,1.0,1.0,463,92.0,1.3176791,103.82871568958832,nassim,tanglin,1344000.0
152,condo,99-year leasehold,2026.0,3.0,2.0,1259,696.0,1.2915415,103.84517442690934,clarke quay,singapore river,3771600.0
153,hdb,99-year leasehold,2010.0,3.0,2.0,1033,375.360850381067,1.39233145,103.87696169399544,fernvale,sengkang,630000.0
154,hdb,99-year leasehold,1993.0,3.0,2.0,1119,91.0,1.3850886,103.74092066788272,peng siang,choa chu kang,514500.0
155,condo,freehold,2016.0,2.0,1.0,560,139.0,1.3442122,103.87315338580112,upper paya lebar,serangoon,1029000.0
156,hdb,99-year leasehold,2017.0,3.0,2.0,1205,470.0,1.4023268,103.89577065,matilda,punggol,648900.0
157,condo,99-year leasehold,2014.0,3.0,2.0,1399,462.0,1.29932595,103.83319668704708,leonie hill,river valley,4357500.0
158,landed,99-year leasehold,2009.0,5.0,4.0,3090,163.0,1.3287735,103.80561531355102,hillcrest,bukit timah,4179000.0
159,condo,freehold,2024.0,2.0,2.0,872,660.0,1.3306509,103.7670572,sunset way,clementi,1648500.0
160,condo,99-year leasehold,2022.0,3.0,3.0,1119,476.0,1.3271094,103.7964042,coronation road,bukit timah,2940300.0
161,condo,99-year leasehold,2021.0,1.0,1.0,517,613.0,1.3659704499999998,103.87028671064984,serangoon garden,serangoon,965000.0
162,executive condo,99-year leasehold,2000.0,3.0,3.0,1313,794.0,1.35112195,103.69668831773896,yunnan,jurong west,1260000.0
163,hdb,99-year leasehold,2003.0,4.0,2.0,1356,375.360850381067,1.395536,103.8876106,anchorvale,sengkang,813800.0
164,hdb,99-year leasehold,2001.0,4.0,2.0,1399,104.0,1.3870021,103.76340787293424,saujana,bukit panjang,787500.0
165,hdb,99-year leasehold,2017.0,3.0,2.0,1001,1179.0,1.30889935,103.7836396897501,ghim moh,queenstown,932400.0
166,hdb,99-year leasehold,1975.0,3.0,2.0,1290,375.360850381067,1.30481515,103.91860152876517,marine parade,marine parade,819000.0
167,bungalow,99-year leasehold,2010.0,5.0,5.0,6000,375.360850381067,1.2481118,103.8406065,sentosa,southern islands,22890000.0
168,hdb,99-year leasehold,1988.0,3.0,2.0,1109,375.360850381067,1.33169695,103.85783953777464,kim keat,toa payoh,651000.0
169,condo,freehold,2022.0,3.0,3.0,1249,52.0,1.3157947,103.8320962933791,nassim,tanglin,3779000.0
170,hdb,99-year leasehold,2018.0,3.0,2.0,1011,727.0,1.39160995,103.88052844816504,fernvale,sengkang,672000.0
171,condo,99-year leasehold,2018.0,3.0,3.0,915,597.0,1.3521534,103.92794202848162,tampines west,tampines,1260000.0
172,executive condo,99-year leasehold,2016.0,3.0,2.0,1324,546.0,1.3321733999999998,103.72419457835264,taman jurong,jurong west,1428000.0
173,condo,99-year leasehold,2017.0,2.0,1.0,797,1024.0,1.319516,103.88097373944026,aljunied,geylang,1281000.0
174,hdb,99-year leasehold,1988.0,2.0,2.0,786,132.0,1.3760309,103.7710916,bangkit,bukit panjang,399000.0
175,executive condo,99-year leasehold,2014.0,2.0,2.0,829,504.0,1.39763685,103.9176573728072,waterway east,punggol,1047900.0
176,semi-detached house,freehold,2001.5925925925926,4.0,7.0,5990,375.360850381067,1.3804543,103.9458545,pasir ris west,pasir ris,6384000.0
177,condo,99-year leasehold,2024.0,3.0,2.0,958,667.0,1.33869315,103.87174954613296,bidadari,toa payoh,1998200.0
178,condo,freehold,2025.0,4.0,5.0,2368,138.0,1.3101838,103.8359137,newton circus,newton,6195000.0
179,condo,99-year leasehold,2023.0,2.0,1.0,657,1074.0,1.304855,103.77377633404797,dover,queenstown,1633800.0
180,hdb,99-year leasehold,1988.0,3.0,2.0,1108,28.0,1.4292403,103.849496,yishun east,yishun,491400.0
181,condo,99-year leasehold,2025.0,5.0,4.0,1690,640.0,1.3080119,103.76731822674004,clementi woods,clementi,3059700.0
182,hdb executive,99-year leasehold,1993.0,4.0,2.0,1538,65.0,1.3840211,103.7463549865398,choa chu kang central,choa chu kang,770700.0
183,terraced house,freehold,1999.0978260869565,5.0,6.0,5324,6.0,1.3544038,103.8653864,serangoon garden,serangoon,5985000.0
184,hdb,99-year leasehold,1985.0,3.0,2.0,1065,375.360850381067,1.34931315,103.7573411219289,bukit batok east,bukit batok,546000.0
185,semi-detached house,freehold,1970.0,5.0,3.0,3400,375.360850381067,1.30640765,103.93278955123664,siglap,bedok,6825000.0
186,executive condo,99-year leasehold,2016.0,3.0,2.0,1087,546.0,1.3321733999999998,103.72419457835264,taman jurong,jurong west,1554000.0
187,hdb,99-year leasehold,2013.0,3.0,2.0,1001,375.360850381067,1.30835505,103.7852237239124,ghim moh,queenstown,924000.0
188,condo,99-year leasehold,2026.0,3.0,3.0,1302,487.0,1.3707978,103.9469571,pasir ris central,pasir ris,2310000.0
189,hdb,99-year leasehold,2016.0,3.0,2.0,1001,375.360850381067,1.3983307,103.8790664,fernvale,sengkang,609000.0
190,hdb,99-year leasehold,1986.0,3.0,2.0,689,375.360850381067,1.3510536,103.9338367,tampines west,tampines,409500.0
191,executive condo,99-year leasehold,2017.0,5.0,4.0,1690,517.0,1.39704825,103.89393329199906,anchorvale,sengkang,2612400.0
192,hdb,99-year leasehold,1985.0,3.0,3.0,1658,14.0,1.436395,103.8384005,northland,yishun,869400.0
193,condo,99-year leasehold,2023.0,2.0,2.0,689,378.0,1.3124025,103.84117158557598,moulmein,novena,1785000.0
194,hdb,99-year leasehold,1980.0,2.0,2.0,882,375.360850381067,1.37127495,103.8591842845461,cheng san,ang mo kio,441000.0
195,terraced house,freehold,2021.2354166666667,5.0,4.0,5000,375.360850381067,1.3186848,103.843503,moulmein,novena,7014000.0
196,hdb,99-year leasehold,1985.0,3.0,3.0,1582,375.360850381067,1.32321315,103.77108632181287,sunset way,clementi,1134000.0
197,hdb,99-year leasehold,1996.0,3.0,2.0,1194,89.0,1.3964192,103.7511057,choa chu kang north,choa chu kang,596400.0
198,hdb,99-year leasehold,1976.0,2.0,2.0,700,375.360850381067,1.31208845,103.89717015311447,geylang east,geylang,399000.0
199,semi-detached house,freehold,1978.0,5.0,6.0,2750,41.0,1.3614485,103.8562891,chong boon,ang mo kio,7140000.0
200,condo,99-year leasehold,2023.0,1.0,1.0,560,455.0,1.3027702,103.8694351,tanjong rhu,kallang,1680000.0
201,condo,freehold,2022.0,3.0,2.0,947,108.0,1.3572912,103.7615246,hillview,bukit batok,1773300.0
202,condo,freehold,2024.0,5.0,4.0,2142,592.0,1.3005809,103.89939364290174,marine parade,marine parade,5953500.0
203,hdb,99-year leasehold,1976.0,3.0,2.0,989,375.360850381067,1.31370335,103.89606731775888,geylang east,geylang,607800.0
204,condo,freehold,2025.0,1.0,1.0,527,376.0,1.29410615,103.83673469533848,institution hill,river valley,1811200.0
205,condo,freehold,2022.0,1.0,1.0,484,70.0,1.31735885,103.83802909608715,moulmein,novena,1344000.0
206,hdb,99-year leasehold,2018.0,2.0,2.0,721,310.0,1.4175065,103.832324539314,khatib,yishun,512400.0
207,condo,99-year leasehold,2026.0,2.0,2.0,657,115.0,1.3404645,103.88373309629344,joo seng,toa payoh,1260000.0
208,condo,freehold,2024.0,2.0,2.0,700,660.0,1.3306509,103.7670572,sunset way,clementi,1362900.0
209,condo,freehold,2023.0,3.0,2.0,1119,58.0,1.3164313,103.8575321,lavender,kallang,2324700.0
210,condo,freehold,2024.0,3.0,2.0,1152,162.0,1.3260123,103.8500626,balestier,novena,2625000.0
211,hdb,99-year leasehold,2002.0,3.0,2.0,1216,375.360850381067,1.39187155,103.88461607816028,anchorvale,sengkang,682500.0
212,hdb,99-year leasehold,1989.0,3.0,2.0,1119,375.360850381067,1.37747295,103.8912765,hougang west,hougang,577500.0
213,condo,freehold,2024.0,5.0,4.0,2142,592.0,1.3005809,103.89939364290174,marine parade,marine parade,5477800.0
214,hdb,99-year leasehold,2016.0,3.0,2.0,1001,375.360850381067,1.40592365,103.91041867615932,waterway east,punggol,699300.0
215,condo,99-year leasehold,2022.0,1.0,1.0,474,476.0,1.3271094,103.7964042,coronation road,bukit timah,1360100.0
216,condo,99-year leasehold,2020.0,3.0,3.0,1066,626.0,1.35516795,103.92965066839812,tampines west,tampines,1510900.0
217,semi-detached house,freehold,1988.0,5.0,5.0,2600,375.360850381067,1.37138015,103.83259607458244,sembawang hills,ang mo kio,5964000.0
218,condo,99-year leasehold,2022.0,3.0,3.0,1119,476.0,1.3271094,103.7964042,coronation road,bukit timah,2831800.0
219,hdb,99-year leasehold,2017.0,3.0,2.0,1001,375.360850381067,1.44476015,103.8318793851922,sembawang east,sembawang,656200.0
220,condo,99-year leasehold,2023.0,5.0,5.0,1819,378.0,1.3124025,103.84117158557598,moulmein,novena,4519200.0
221,executive condo,99-year leasehold,2017.0,4.0,3.0,1153,480.0,1.3523793,103.6967058924398,yunnan,jurong west,1048800.0
