,coord,dist_meters_to_nearest_mrt,nearest_mrt_code,nearest_mrt_line,dist_meters_to_nearest_mall,nearest_mall_index,dist_meters_to_nearest_commercial_centre,nearest_commercial_centre_index,dist_meters_to_nearest_primary_school,nearest_primary_school_index,dist_meters_to_nearest_secondary_school,nearest_secondary_school_index
12,"(1.3393381, 103.7638932)",1330.4479014903318,dt5,dt,1395.951388849762,125,2227.9522552561684,9,385.60652617542684,16,1480.025961399241,20
13,"(1.36432355, 103.83166833259988)",178.4035776976268,te7,te,1085.3974193219794,57,2369.081394622291,26,1005.8510022121569,8,336.746183076012,95
14,"(1.29988105, 103.88811428633838)",935.4159473160129,cc7,cc,1312.5693430341992,75,2108.656996290626,30,1258.3288850981328,80,656.897219038514,41
15,"(1.3816301, 103.7421019293336)",483.88370713494567,ns4,ns,499.57949863506116,135,3953.193950901259,22,408.4916626895409,34,365.21597111758047,19
16,"(1.328739, 103.84453365993072)",542.3898068192497,ns19,ns,279.6201332717357,62,591.6040684191531,32,336.0275311940839,9,473.7003248146452,26
17,"(1.3129331, 103.85686967571708)",236.48667753681497,ne8,ne,189.70656670403793,11,1691.8026216570563,29,651.5377060287409,50,1339.3883799092393,13
18,"(1.277361, 103.84933771170438)",411.65435689047837,ew15,ew,388.9082344903528,51,1189.8761934752993,0,1065.4525811239123,20,1678.88310271802,89
19,"(1.3737939, 103.84901393695192)",431.2087686720097,ns16,ns,184.47817141315684,95,2538.459317115163,26,334.6289225192951,73,350.8383446714546,2
20,"(1.304855, 103.77377633404797)",904.0641497394813,ew22,ew,872.1365898495775,163,838.5847129538736,35,1394.6132963833745,49,556.3720353946683,82
21,"(1.3642682, 103.9675891)",1695.9052811393276,dt33,dt,442.700436680035,87,2253.5469802455827,13,717.4355022775696,162,1084.0651101977542,43
22,"(1.2943763, 103.80448307932464)",178.45366219077977,ew19,ew,634.1447861470178,155,763.7263440864255,25,416.90444266111325,124,958.0593337838012,100
23,"(1.32201645, 103.8364502631857)",839.0915934284437,ns20,ns,835.9411892716965,3,803.914905025854,29,391.95462377568003,6,252.16122960096237,4
24,"(1.3346024, 103.90839720876184)",40.943455619084055,dt28,dt,2337.8580891481965,81,2460.1494487410787,30,524.3331013488827,151,1076.7407332561845,70
25,"(1.2946685, 103.8500737)",251.35037499660112,cc2,cc,212.68580903938638,7,157.23220719652073,37,343.73951785389386,22,562.7237591752963,109
26,"(1.30062, 103.892783)",969.396354856356,cc8,cc,1000.8302091319861,72,1941.5959190064232,30,997.606994759252,147,567.502842005532,32
27,"(1.35539535, 103.95322139402808)",180.22170722785722,dt33,dt,910.3943267354872,82,926.9934947004801,3,485.81789181094774,59,400.3942425091371,83
28,"(1.30668715, 103.83618134892708)",654.2704619648994,dt11,dt,284.8682375223142,54,1678.327977295549,29,1339.7577989487195,6,1446.7958065983892,4
29,"(1.277361, 103.84933771170438)",411.65435689047837,ew15,ew,388.9082344903528,51,1189.8761934752993,0,1065.4525811239123,20,1678.88310271802,89
30,"(14.4848138, 121.0232316)",2370557.6271254206,cg2,cg,2370212.394936964,70,2368008.261735275,5,2371707.725018669,109,2371953.5055858414,90
31,"(1.3129422000000002, 103.84155234754564)",402.99386101636594,dt11,dt,528.8734785267204,58,808.6459323834814,29,683.5709780937647,143,971.7802773620014,4
32,"(1.3196642, 103.92376598402689)",1213.4900708629086,ew6,ew,834.8548073842547,63,3372.3398465324867,30,0.0,107,924.3714535089047,96
33,"(1.3087662, 103.8090654)",977.1979653557775,cc20,cc,1550.8214263516422,19,2128.1544366305648,28,1337.4975973707265,97,1079.8525232121997,100
34,"(1.3087662, 103.8090654)",977.1979653557775,cc20,cc,1550.8214263516422,19,2128.1544366305648,28,1337.4975973707265,97,1079.8525232121997,100
35,"(1.4241899, 103.8449321)",1248.1379167309067,ns13,ns,774.6421695941757,103,2931.708276640411,2,304.6745162649267,70,323.65819362679923,85
36,"(1.30010805, 103.84667445597408)",138.95388054704273,cc1,cc,200.5858792417178,39,603.2975498644965,37,657.5831708054098,22,238.94041451431107,109
37,"(1.3443339, 103.8786904)",261.6725943696553,cc12,cc,985.8746550442161,110,1044.9208544491219,31,341.0564189622366,88,343.61535552351614,71
38,"(1.3031066, 103.83293253725688)",753.4804433488056,ns23,ns,76.27585323534039,61,2085.5522180428443,37,1637.9242308177663,3,1774.8100320859853,50
39,"(1.3116278, 103.79388546155636)",287.82817278971567,cc21,cc,181.9047167573677,19,709.7185540390612,28,1232.2088666396899,66,1321.35282608043,100
40,"(1.3870525, 103.7722878)",1487.2142483088573,dt1,dt,412.72730519073076,128,3892.3949448078265,22,366.1133507112907,10,528.6087908080447,53
41,"(1.3557437, 103.8713719)",586.1269668636489,cc13,cc,593.3207388724696,110,507.0011569499919,31,496.5618933006362,179,361.4672703666619,94
42,"(1.35451645, 103.96138214424742)",773.4440412294922,dt33,dt,1423.6660268592534,87,1470.7090910560582,36,190.3407678279297,44,273.7910912909054,43
43,"(1.3765249, 103.7573796)",540.7704628710092,dt1,dt,526.1075554637305,132,4390.845584845954,22,663.9045041065281,137,750.2005306305954,47
44,"(1.3444213, 103.8376946)",511.47335680514874,cc16,cc,1355.8293326707835,57,1370.2826905738614,26,467.85387567965915,90,645.2952129572832,101
45,"(1.31525305, 103.80335348540277)",509.0760366235524,cc20,cc,1027.768949833923,19,1767.4923107609104,28,820.6401380844154,97,926.1490382665334,120
46,"(1.3359166999999998, 103.9369443776042)",529.6877416208914,dt30,dt,1362.7075680560004,68,2117.905983431803,3,410.0638408563926,127,238.14748923148844,10
47,"(1.4405369, 103.82607667170107)",491.61533456440264,ns12,ns,188.8031422995453,100,3614.488387885942,19,781.2609260454032,133,661.2531790995288,1
48,"(1.4471173, 103.8141757373453)",687.3781189033001,ns11,ns,603.7642186794988,101,2112.9894627270914,19,441.91554145919696,18,320.6606104517673,110
49,"(1.31299415, 103.85561645548904)",97.25484627372023,ne8,ne,221.20302483622234,11,1566.1481700895217,29,512.9977757106082,50,1381.4751347780425,13
50,"(1.3870489, 103.872999)",2286.669503467199,ne15,ne,404.26916468478595,112,1428.4873166231582,18,349.34212963954656,52,713.0538252543332,93
51,"(1.3136277, 103.8831086)",310.9708694451633,ew9,ew,1153.2395212313183,85,1260.6144458829453,30,544.9721444794229,58,554.0290318956633,51
52,"(1.3499487, 103.94994605)",838.5472452108185,ew3,ew,646.6984768087004,83,638.8120234060027,3,126.88244193339047,33,549.2084476225133,91
53,"(1.310429, 103.80282102340084)",742.2298115144827,cc21,cc,840.9736569084381,19,1483.8785078493336,28,1222.1135400365936,100,883.2528985726543,100
54,"(1.3252767, 103.9326308)",1253.713752970859,dt30,dt,351.29020798774616,68,3387.1355312929827,3,539.6572177090478,51,735.6817392014948,128
55,"(1.27568865, 103.83822499656318)",542.9493450799641,ew16,ew,863.5680326078693,51,2189.3453478498727,0,185.64199718399092,20,1177.0856936746673,89
56,"(1.37112775, 103.95807671272708)",1001.1265884821638,ew1,ew,788.8982237750582,67,2273.171586304267,13,207.19030251093707,85,256.40516882880917,90
57,"(1.34387085, 103.7578477023541)",1084.075448031329,ns2,ns,1176.8460191070574,139,2113.086484075046,9,229.0456295262467,78,661.081357031876,20
58,"(1.29773195, 103.8559134735316)",303.09058529472117,dt14,dt,56.60490161065846,4,649.2329196981467,37,456.9630359395317,22,822.3198570459016,109
59,"(14.4848138, 121.0232316)",2370557.6271254206,cg2,cg,2370212.394936964,70,2368008.261735275,5,2371707.725018669,109,2371953.5055858414,90
60,"(1.32691215, 103.85649051769732)",988.7402993031443,ne9,ne,1047.274982676332,18,1113.8204649528675,32,568.1431990381296,67,519.2949490754943,13
61,"(1.39734855, 103.89235330638869)",715.746142204745,ne16,ne,655.0251247895585,107,2647.6385419290878,16,388.59725137848034,138,869.2076564821713,36
62,"(1.31730585, 103.83260746060152)",793.6408430268208,dt10,dt,1129.632011850154,15,1237.4001614062158,29,317.9823882691256,6,470.6958244788949,4
63,"(1.29841635, 103.85717773862802)",279.50078133522175,dt14,dt,173.6152020541945,4,806.2719123840869,37,599.9756984237565,139,945.9919236842153,109
64,"(1.3766151999999998, 103.94052928851568)",1051.3572473113597,ew1,ew,270.7329192617383,86,1156.5242983723429,15,601.0998982662679,93,1369.6170559842099,74
65,"(1.30397875, 103.82269161887947)",216.28050881533616,ns22,ns,160.58540882369766,50,2738.401780219559,25,1412.0611431169311,3,1253.5641374728261,37
66,"(1.3171727, 103.922284)",1123.492524981392,ew6,ew,1146.7987948676964,63,3205.2059707009244,30,321.09306973314267,107,1066.2252938996746,131
67,"(1.3349051, 103.87943952124174)",843.9455124439295,cc12,cc,1284.6849532285316,56,1974.8409468887207,31,445.5302619832672,23,582.3310905587465,23
68,"(1.44002835, 103.82774103667388)",401.5761175477757,ns12,ns,370.98863307219415,100,3800.174778826499,19,879.0147336127982,1,505.4561219110927,1
69,"(1.4243288500000002, 103.84822482554188)",1576.1110256257725,ns13,ns,1027.0616417100346,103,2644.7018682321436,2,379.6488094919064,104,511.5322640564195,85
70,"(1.3101838, 103.8359137)",329.9329169256995,dt11,dt,420.79166198657805,15,1369.4081360494288,29,952.0317986568151,6,1060.204248039493,4
71,"(1.39704825, 103.89393329199906)",616.639694582314,ne16,ne,565.9692224347313,107,2527.324854325714,16,516.1899549555849,138,691.220912973074,36
72,"(1.3123637, 103.80327091227252)",723.8853301692188,cc20,cc,907.8450805130888,19,1605.9488645092076,28,1086.1518444667238,97,1102.475584695672,100
73,"(1.3113226999999998, 103.85247580094573)",323.6008293043683,ne8,ne,401.7138360410464,30,1394.7652213041822,29,211.73498943880838,50,1362.6099524740425,109
74,"(1.3307918, 103.7577266)",1738.0604759295024,ew24,ew,1292.5774541324552,147,1192.0557901375948,9,1258.6125524087968,16,1736.5666741284515,34
75,"(1.2777916500000002, 103.84140360852476)",309.85169088648854,ew16,ew,500.2341645697619,51,1766.046002757336,0,276.12915874198694,20,1052.0215920914904,89
76,"(1.3178998, 103.8258621)",240.15856067003648,dt10,dt,1306.1518258688463,36,1965.2341118348395,29,1029.843472506562,6,523.2690060993224,114
77,"(1.3027702, 103.8694351)",656.9235719275727,cc6,cc,382.4224436421492,74,2252.831258705663,37,1355.5919323061562,139,1453.6243244298323,41
78,"(1.30397875, 103.82269161887947)",216.28050881533616,ns22,ns,160.58540882369766,50,2738.401780219559,25,1412.0611431169311,3,1253.5641374728261,37
79,"(1.3533064, 103.951144)",502.65757750532026,dt33,dt,677.4544784794399,82,663.0017805878956,3,227.80216308029023,176,329.7755623971142,91
80,"(1.4472891, 103.7708303)",1657.665114111231,te1,te,1830.858592029899,98,2096.041203725909,4,1479.4667393494906,89,1242.4378307245674,72
81,"(1.3416378, 103.70553212628354)",340.6503066326477,ew27,ew,238.80487269846816,151,1749.894634768827,11,768.1576004125653,75,446.9059933189293,14
82,"(1.3393381, 103.7638932)",1330.4479014903318,dt5,dt,1395.951388849762,125,2227.9522552561684,9,385.60652617542684,16,1480.025961399241,20
83,"(1.3048464, 103.8625836)",280.65942745045794,ew11,ew,263.63817097922987,12,1674.8579785165068,37,598.323314787979,139,1645.2178558063563,109
84,"(1.3726929499999998, 103.7699175716839)",687.7071417505975,dt2,dt,975.8906940929461,130,5166.456809211162,22,96.75538656820375,15,523.0457812361974,7
85,"(1.31507315, 103.86063151014405)",303.5766995772331,dt23,dt,618.8393387305879,11,1994.5958615574978,29,827.0055622272449,67,1040.983826159578,13
86,"(69.4867678, 20.1844341)",9604100.712215979,te1,te,9604795.389834877,104,9603545.13479825,19,9604276.649789095,102,9604647.615941815,22
87,"(1.37365485, 103.85697538402584)",922.3643802757774,ns16,ns,1040.834376203319,95,2264.5177482688155,18,158.29768958573518,2,616.1778528423121,2
88,"(1.3555426, 103.8802545)",741.2388882328611,ne13,ne,262.26222832222527,123,1004.6167091016822,31,809.2671517731615,94,864.6163953550825,75
89,"(1.3136277, 103.8831086)",310.9708694451633,ew9,ew,1153.2395212313183,85,1260.6144458829453,30,544.9721444794229,58,554.0290318956633,51
90,"(1.2739587, 103.84363531310518)",370.02169963329885,ew15,ew,428.96095999455804,51,1864.412455507852,0,464.74420090012774,20,1542.6488541371082,89
91,"(1.2915065499999998, 103.83670439151769)",855.6409262861538,dt20,dt,566.7449481772368,17,1596.9357238568991,37,1406.7667743470038,3,580.2461501098476,89
92,"(1.3620961, 103.7444601867664)",902.2329557216232,ns3,ns,1432.252425415956,139,3289.191720278787,1,506.1324815399921,41,164.87457663564194,40
93,"(1.39490445, 103.87994825262744)",1765.054234077884,ne16,ne,553.9702084122159,122,2015.0183143368747,18,614.6383554149893,132,487.7022599948684,93
94,"(1.4275711, 103.78575216457712)",836.215817477521,te3,te,840.6879442689747,93,1018.0063851217209,4,585.6196069734151,71,388.1900666236901,115
95,"(1.34166185, 103.7808309432764)",572.0318511075849,dt5,dt,434.9743547590989,127,4018.7260618381283,9,647.0206870736677,112,2681.8984288952474,79
96,"(1.310429, 103.80282102340084)",742.2298115144827,cc21,cc,840.9736569084381,19,1483.8785078493336,28,1222.1135400365936,100,883.2528985726543,100
97,"(1.3443339, 103.8786904)",261.6725943696553,cc12,cc,985.8746550442161,110,1044.9208544491219,31,341.0564189622366,88,343.61535552351614,71
98,"(1.3175466999999998, 103.89851880043382)",579.3004511882676,ew7,ew,524.0716202411809,71,562.6542156493557,30,750.399910300654,64,1028.7882487993777,126
99,"(1.4501476, 103.8157699)",491.0879548443457,ns11,ns,470.3993499413168,101,2085.227223743131,19,80.141880788332,18,433.03819959254207,22
100,"(1.3087662, 103.8090654)",977.1979653557775,cc20,cc,1550.8214263516422,19,2128.1544366305648,28,1337.4975973707265,97,1079.8525232121997,100
101,"(1.4290407, 103.7720746)",444.5777407899646,ns8,ns,999.7737867124556,98,1816.0025270437206,4,583.5180575799915,89,609.6045757177966,48
102,"(1.3580925, 103.84217392551992)",1078.2158754358932,cc15,cc,1105.9306302776445,21,1045.9488314047721,26,1256.808094607138,8,270.2172708724648,134
103,"(1.2766663, 103.80704638711627)",623.7597998699288,cc27,cc,693.6164585468971,144,1231.8166328779441,25,198.37631357244243,13,1220.7113199018536,18
104,"(1.4170170999999998, 103.84503465472268)",1342.1317139270293,ns14,ns,442.14860450775734,103,2565.250276270338,2,677.9347342170017,101,470.78057111487135,85
105,"(1.32616425, 103.90216178147097)",533.0912903212794,dt27,dt,1189.3822431342544,81,1308.3039382782158,30,277.9897031238067,87,162.32564583517848,70
106,"(1.4377016, 103.77733635)",678.1487338396734,ns8,ns,547.5633829522732,98,1023.4976483993661,4,590.7117422378054,89,161.5194500860451,72
107,"(1.3984628, 103.9190743)",2072.965650338057,ne17,ne,797.8006196468768,118,1638.7372423556972,16,111.95440094441585,156,834.7293245384483,52
108,"(1.36679605, 103.8865753660334)",750.7234977709577,ne13,ne,821.6937344720851,109,1570.5210712291134,8,634.2540250845591,168,755.4493515545053,138
109,"(1.3444213, 103.8376946)",511.47335680514874,cc16,cc,1355.8293326707835,57,1370.2826905738614,26,467.85387567965915,90,645.2952129572832,101
110,"(1.3086965, 103.8981317)",1009.2039114545892,cc8,cc,631.2358255795633,72,1166.8949505819105,30,454.2171637186346,147,97.54340610953507,126
111,"(1.330403, 103.7949393)",224.66357533704033,dt7,dt,881.3166872567448,156,2700.1899167249244,28,1260.4965487048287,126,835.250648260363,79
112,"(1.3120277, 103.85167627533578)",364.02091340850296,ne8,ne,515.4839953941763,30,1276.5756329525057,29,93.46504810391703,50,1414.0202314564112,109
113,"(1.3131859, 103.8996932)",828.7237220493657,ew7,ew,581.7053490448541,71,882.0538100742297,30,348.2434504672819,64,598.5425754949833,126
114,"(1.4350322, 103.84433307382491)",1208.110583972454,ns13,ns,1173.0486921664017,99,3778.0173084121525,2,694.2027616912266,32,409.0723860150459,86
115,"(1.3402661, 103.69576086640916)",343.40598685458457,ew28,ew,222.10491107658268,152,1443.6916178218542,11,378.4566528403876,75,713.405479120989,14
116,"(1.330403, 103.7949393)",224.66357533704033,dt7,dt,881.3166872567448,156,2700.1899167249244,28,1260.4965487048287,126,835.250648260363,79
117,"(1.44002835, 103.82774103667388)",401.5761175477757,ns12,ns,370.98863307219415,100,3800.174778826499,19,879.0147336127982,1,505.4561219110927,1
118,"(1.3526158, 103.85088456895812)",241.54986384500333,cc15,cc,326.98865014088415,21,354.9427166098866,26,594.2072484169773,82,469.6749456183798,68
119,"(1.2810166, 103.80929125585544)",1141.2412031204685,cc28,cc,832.0912014780439,154,900.9778959298966,25,512.6498182589652,13,683.2424874870151,18
120,"(1.46136225, 103.83614823161346)",2145.394932655523,ns12,ns,2105.039282311834,91,4137.768193073631,19,1837.7155356333506,157,2580.7540977934696,22
121,"(1.3716072499999998, 103.87540214808246)",1659.276548931039,ne13,ne,643.2915104589385,113,2276.9493834212126,31,192.6397361212545,130,257.53123608931617,15
122,"(1.4241899, 103.8449321)",1248.1379167309067,ns13,ns,774.6421695941757,103,2931.708276640411,2,304.6745162649267,70,323.65819362679923,85
123,"(1.445516, 103.82705855838422)",399.16447335677657,ns12,ns,474.29452241159714,91,3439.0533677649105,19,686.8403045462867,133,1093.8118086096538,1
124,"(1.3877522, 103.7694179)",1288.0177609132622,dt1,dt,449.23772628474535,129,3652.3816942688954,22,283.6958417040013,61,497.4213905437244,146
125,"(1.29436855, 103.8284376)",917.9074455598061,ew17,ew,408.4588066564251,17,2442.4255170842807,37,594.1911892608524,3,721.129989978383,50
126,"(1.4349279, 103.8452818)",1294.5085844801836,ns13,ns,1248.8098625608186,99,3700.1345101303377,2,788.1146031268688,32,515.0385076807069,86
127,"(1.35258045, 103.83922542690792)",428.8419922757797,cc16,cc,960.2454121956275,57,1019.1597351253017,26,1295.3859451364672,90,504.91517744117976,134
128,"(1.3306509, 103.7670572)",1489.937999228665,dt5,dt,1541.8686791193393,127,2207.9858987170464,9,759.7969688690505,16,1753.8437357340515,34
129,"(1.3128118, 103.93903292138398)",1785.9416900285905,ew4,ew,1716.0330823364284,63,3810.518669508703,7,905.4529559205465,152,818.5897994782812,128
130,"(1.3443339, 103.8786904)",261.6725943696553,cc12,cc,985.8746550442161,110,1044.9208544491219,31,341.0564189622366,88,343.61535552351614,71
131,"(1.3156128, 103.8454853)",564.9044303961347,ns20,ns,277.62338835089923,58,539.620837038356,29,224.29551559098516,143,1145.7305662993542,4
132,"(1.28163205, 103.84231222587113)",294.8052214764922,ew16,ew,308.108456015039,38,1473.441828976526,0,697.5757864201606,20,772.506512955348,89
133,"(1.31088855, 103.7696620501535)",682.6977623312288,ew23,ew,530.5787393262945,145,1595.1205919113422,35,628.239664981302,113,258.73984124976437,78
134,"(1.36781235, 103.95821899168908)",1150.2998078603166,ew1,ew,721.6651709708512,87,2172.7682633783434,3,404.89871783268774,85,169.8212720522044,69
135,"(1.30348325, 103.82468956573264)",148.7054630208516,ns22,ns,173.8289546721022,50,2770.511995406015,29,1350.747580891191,3,1338.6061417710623,37
136,"(1.3872543, 103.7597827)",864.9366619054343,dt1,dt,742.3482240571025,129,3276.425488334287,22,419.75248578127224,161,114.84149352688155,132
137,"(1.3955935, 103.8990262464462)",584.1227029683419,ne16,ne,600.3781683241398,107,2236.1206404443083,16,168.33594914475518,36,166.08561852485778,36
138,"(1.37640055, 103.77489833847288)",1372.963758928905,dt2,dt,901.0760439360286,128,5043.009623646492,22,671.53562291372,178,688.5701024429774,53
139,"(1.26522915, 103.81751884226044)",446.78082345888095,cc29,cc,291.03453107619725,143,2862.9489455403923,25,1304.6063921588004,125,1399.72213442617,29
140,"(1.4349279, 103.8452818)",1294.5085844801836,ns13,ns,1248.8098625608186,99,3700.1345101303377,2,788.1146031268688,32,515.0385076807069,86
141,"(1.37998675, 103.96270907169402)",1679.7206309762435,ew1,ew,942.5301178380486,67,1359.010694294432,13,866.9519421549685,109,868.9434245803668,90
142,"(1.31947695, 103.88276969928656)",336.96909518931926,ew9,ew,1101.9519759604668,78,1203.0145138460528,30,190.7419293142126,58,98.64105847854023,51
143,"(1.32829915, 103.8613772552474)",927.410165082319,ne9,ne,860.0848495228587,56,1538.8222814476298,32,559.9019958697752,140,433.11685954834894,13
144,"(1.3159484, 103.8575892)",442.6312176329891,ne8,ne,532.359496565604,11,1642.4557808940394,29,657.243185657073,67,997.6026048963926,13
145,"(1.3306509, 103.7670572)",1489.937999228665,dt5,dt,1541.8686791193393,127,2207.9858987170464,9,759.7969688690505,16,1753.8437357340515,34
146,"(1.44761315, 103.83352025714105)",657.3594812238832,ns12,ns,589.1746813090069,91,4025.3522475558484,19,1173.7262301438661,32,1330.7458321065183,1
147,"(1.3765249, 103.7573796)",540.7704628710092,dt1,dt,526.1075554637305,132,4390.845584845954,22,663.9045041065281,137,750.2005306305954,47
148,"(1.3410727, 103.69975192335232)",470.8597966340266,ew28,ew,296.55265577465696,152,1455.3460069430087,11,210.5086364200144,75,283.68227239831333,14
149,"(1.3102151, 103.8986321)",1052.3461371317635,cc9,cc,666.1888232172961,71,1048.2180803007468,30,499.0805545981744,64,254.2835117706459,126
150,"(1.4283557, 103.7804964)",850.2149711931968,ns8,ns,570.0928962632333,98,1142.4634789895638,4,363.3405205892999,55,442.3837925571531,48
151,"(1.31027885, 103.77076171925694)",818.7860464423217,ew23,ew,666.180228577761,145,1458.6845730772102,35,737.5601954903386,113,267.2990933901024,78
152,"(1.3176791, 103.82871568958832)",399.1771798180785,dt10,dt,1216.241226716926,36,1653.9876448262098,29,717.821053711303,6,425.4586171091254,114
153,"(1.2915415, 103.84517442690934)",140.06135628988326,dt20,dt,302.54480856153197,9,760.5209273846646,37,971.758748259218,22,974.3734973264549,109
154,"(1.39233145, 103.87696169399544)",2062.5688906988476,ne16,ne,116.552080245148,122,1682.0957535633802,18,247.77380377191167,132,207.98648747879042,93
155,"(1.3850886, 103.74092066788272)",385.1516560560121,ns4,ns,457.0694033096926,135,3631.789746354195,22,742.1292156329739,37,439.9710963889759,19
156,"(1.3442122, 103.87315338580112)",613.1204798973428,ne11,ne,697.1524929463772,110,784.4613509118266,31,587.8095656798644,88,445.31070780393395,118
157,"(1.4023268, 103.89577065)",1176.0825767673198,ne16,ne,845.6644436545606,106,2030.5832597709568,16,311.53287221153766,119,544.3689070224101,144
158,"(1.29932595, 103.83319668704708)",663.5602386028427,ns23,ns,392.9359611428771,31,1939.2670245050974,37,1350.3361299391374,3,1481.1968766520906,50
159,"(1.3287735, 103.80561531355102)",283.0363100355193,dt8,dt,1709.7388868869775,156,3011.197169551425,28,166.33713673570642,126,245.31731813111952,80
160,"(1.3306509, 103.7670572)",1489.937999228665,dt5,dt,1541.8686791193393,127,2207.9858987170464,9,759.7969688690505,16,1753.8437357340515,34
161,"(1.3271094, 103.7964042)",418.2196324806153,dt7,dt,1272.8609774750269,156,2387.412061670889,28,1146.8071501562322,126,790.7520218150041,79
162,"(1.3659704499999998, 103.87028671064984)",1708.9030743888018,cc14,cc,565.5901653749336,116,1642.571906029641,31,673.0436260662705,179,433.2032046845302,112
163,"(1.35112195, 103.69668831773896)",1498.2828900473057,ew28,ew,234.2128545085623,160,312.143495237836,11,321.4525508776922,115,630.375211837747,133
164,"(1.395536, 103.8876106)",973.8028629704557,ne16,ne,904.2046306427391,107,2751.175021378131,12,248.84765308988827,138,703.3711858760175,77
165,"(1.3870021, 103.76340787293424)",859.035833291297,dt1,dt,358.93151840272134,129,3428.2204239999874,22,422.8675351190308,159,350.1021368338324,146
166,"(1.30889935, 103.7836396897501)",621.8118811633162,ew22,ew,579.7646365813819,153,764.9432226953239,28,904.2998928460479,66,749.5419202074619,5
167,"(1.30481515, 103.91860152876517)",1900.998307984371,ew6,ew,1508.6018811253318,76,3159.5123824813395,30,108.38654668200033,98,259.53322322119976,25
168,"(1.2481118, 103.8406065)",2856.0931591029166,cc29,cc,2663.0652452540617,142,4546.605580351752,0,3064.2301549170015,20,3752.2793216365108,29
169,"(1.33169695, 103.85783953777464)",1155.048336851169,ns19,ns,1035.576273697738,18,1074.681276110421,32,660.0913445703109,111,849.973963429532,13
170,"(1.3157947, 103.8320962933791)",759.7008366026623,dt11,dt,971.9843964302703,15,1341.2934282130725,29,465.8231258855556,6,622.464539070591,4
171,"(1.39160995, 103.88052844816504)",1664.4602354443384,ne16,ne,488.7702761669704,122,2084.6319468141796,18,652.4519251115044,132,276.46348808711133,93
172,"(1.3521534, 103.92794202848162)",1379.4636093493582,dt31,dt,1391.710938071878,65,1922.6166046014653,3,941.4591830535901,142,329.76659541519524,116
173,"(1.3321733999999998, 103.72419457835264)",1384.3262917259478,ew26,ew,538.7612787907464,162,1167.6182780314155,1,971.1399422279992,83,207.5048502423729,62
174,"(1.319516, 103.88097373944026)",403.09889682978763,ew9,ew,1301.5221169598192,78,1402.0882528608881,30,372.0687525412733,58,252.7906571727076,51
175,"(1.3760309, 103.7710916)",1010.1639272011494,dt2,dt,831.3019699278201,128,4881.938971794524,22,343.18694148506347,15,782.1692394099698,53
176,"(1.39763685, 103.9176573728072)",2085.737432279409,ne17,ne,654.3797332110306,119,1648.8766085659631,16,192.1862016296939,156,673.0832720897799,52
177,"(1.3804543, 103.9458545)",904.0127323727089,ew1,ew,476.26307747597315,86,1654.8288442593682,15,1286.8063726461562,93,1213.0280717793269,55
178,"(1.33869315, 103.87174954613296)",117.30057582915254,ne11,ne,868.535972344011,56,1390.2427185407653,31,543.1771433302384,23,568.1130988717077,23
179,"(1.3101838, 103.8359137)",329.9329169256995,dt11,dt,420.79166198657805,15,1369.4081360494288,29,952.0317986568151,6,1060.204248039493,4
180,"(1.304855, 103.77377633404797)",904.0641497394813,ew22,ew,872.1365898495775,163,838.5847129538736,35,1394.6132963833745,49,556.3720353946683,82
